permanent_city,receiver_id
Others,633312
Mumbai,335836
New Delhi,173436
Hyderabad,149383
Bengaluru,135644
Lucknow,109398
Delhi,72580
Pune,61806
Kolkata,55701
Patna,39283
Srinagar,38488
Aligarh,34037
Bhopal,31411
Chennai,30099
Ahmedabad,27121
Kanpur,26665
Allahabad,23200
Thane,22305
Nagpur,20534
Navi Mumbai,20034
Moradabad,17950
Bareilly,17029
Varanasi,15278
Jamshedpur,15002
Ranchi,14937
Jaipur,14677
Meerut,14230
Surat,14154
Indore,13104
Bijnor,13090
Agra,12790
Aurangabad-Maharashtra,11707
Gorakhpur,11689
Ghaziabad,11654
Mysore,11380
Rampur,10904
Saharanpur,10832
Dehradun,10080
Gaya,10011
Nashik,9697
Mira Bhayandar,9688
Jammu,9411
Darbhanga,9306
Bihar,9268
Noida,9137
Belgaum,9045
Dubai,9009
Vadodara,8228
Dhanbad,7832
Bhiwandi,7742
Gulbarga,7673
Anantnag,7441
Muzaffarpur,7214
Asansol,6847
Hubli,6286
Kalyan,5537
Jhansi,5427
Kota-Rajasthan,5376
Muzaffarnagar,5284
Bhagalpur,5153
Secunderabad,5091
Malappuram,5088
Bellary,5028
Nainital,4761
Solapur,4742
Azamgarh,4739
Shahjahanpur,4737
Guwahati,4733
Kozhikode,4632
Budgam,4601
Kurnool,4484
Baramulla,4467
Mangalore,4456
Bokaro,4411
24 Parganas-n,4289
Faizabad,4276
Raipur,4271
Hazaribag,4185
Vijayawada,4172
Shimoga,4055
Baramula,4007
Amravati,4004
Ahmednagar,3983
Haridwar,3958
Jabalpur,3842
Udham Singh Nagar,3806
Coimbatore,3780
Gwalior,3754
Howrah,3718
Samastipur,3699
Ajmer,3691
Fatehpur,3632
Anantapur,3464
Visakhapatnam,3428
Amroha,3428
Kolhapur,3344
Chandigarh,3343
Faridabad,3322
Nellore,3303
Bijapur,3273
